Date,Description,Amount,Currency,Converted_INR,Category
2025-04-15,CHARITY PAYMENT,3164,INR,3164,General
2024-02-13,MYNTRA PAYMENT,6013,JPY,3307.15,Shopping
2025-11-04,MAINTENANCE PAYMENT,6,USD,501.0,Utilities
2024-12-16,RAILWAY PAYMENT,72,EUR,6422.4,Transport
2025-11-27,FRUITS PAYMENT,8986,JPY,4942.3,Food
2025-03-16,BROADBAND PAYMENT,38,EUR,3389.6,Utilities
2024-04-29,GYM PAYMENT,733,INR,733,Health
2024-07-21,DTH PAYMENT,54,EUR,4816.8,Utilities
2024-06-15,STEAM PAYMENT,93,GBP,9774.3,Entertainment
2025-05-10,PREPAID RECHARGE PAYMENT,142,EUR,12666.4,Utilities
2024-02-04,IPL MATCH PAYMENT,835,INR,835,Entertainment
2024-05-31,COURIER PAYMENT,58,EUR,5173.6,General
2025-01-30,INTERNET PAYMENT,3927,JPY,2159.85,Utilities
2024-07-03,POS / BP PUMP,2900,INR,2900,Transport
2024-04-11,RAILWAY PAYMENT,30,GBP,3153.0,Transport
2024-06-16,DIESEL PAYMENT,2894,JPY,1591.7,Transport
2025-01-12,POST OFFICE PAYMENT,4129,INR,4129,General
2024-02-23,UPI-SPOTIFY-4674,93,GBP,9774.3,Entertainment
2024-09-25,PVR STORE,56,GBP,5885.6,Entertainment
2024-02-29,GIFT PAYMENT,51,USD,4258.5,General
2024-06-06,PLAYSTATION PAYMENT,65,USD,5427.5,Entertainment
2025-06-17,SEND MONEY PAYMENT,36,USD,3006.0,General
2024-10-24,SPA PAYMENT,9056,JPY,4980.8,General
2025-04-25,CAFE PAYMENT,29,EUR,2586.8,Food
2024-07-03,DENTIST PAYMENT,47,EUR,4192.4,Health
2024-07-16,DTH PAYMENT,1793,JPY,986.15,Utilities
2024-08-18,ADIDAS PAYMENT,104,EUR,9276.8,Shopping
2025-12-06,SWIGGY PAYMENT,90,EUR,8028.0,Food
2025-08-30,AJIO PAYMENT,65,GBP,6831.5,Shopping
2025-04-18,POS / NIKE,84,USD,7014.0,Shopping
2025-11-21,ZOMATO PAYMENT,99,USD,8266.5,Food
2024-08-19,DECATHLON PAYMENT,101,GBP,10615.1,Shopping
2025-02-11,KFC PAYMENT,142,USD,11857.0,Food
2025-06-22,DUNKIN PAYMENT,48,USD,4008.0,Food
2025-10-28,EVENT PAYMENT,4058,JPY,2231.9,Entertainment
2024-12-21,WWW.BUS TICKET.COM,3636,INR,3636,Transport
2024-08-26,STATIONERY PAYMENT,44,USD,3674.0,General
2025-03-03,1MG PAYMENT,114,GBP,11981.4,Health
2025-02-27,AIRTEL BILL PAYMENT,4749,JPY,2611.95,Utilities
2025-06-24,CINEMA PAYMENT,1673,INR,1673,Entertainment
2025-06-08,CHARITY PAYMENT,94,USD,7849.0,General
2025-11-30,RAPIDO PAYMENT,125,USD,10437.5,Transport
2024-10-02,OLA PAYMENT,40,GBP,4204.0,Transport
2024-03-12,GOLD'S GYM PAYMENT,109,EUR,9722.8,Health
2024-04-06,XEROX PAYMENT,664,JPY,365.2,General
2024-07-01,POSTPAID BILL PAYMENT,3375,INR,3375,Utilities
2024-02-13,SALON STORE,13,USD,1085.5,General
2024-11-04,UPI-CAPPUCCINO-1474,139,EUR,12398.8,Food
2025-02-09,SALON PAYMENT,1881,INR,1881,General
2025-08-14,INDIGO PAYMENT,2427,INR,2427,Transport
2025-03-12,PIZZA PAYMENT,1402,INR,1402,Food
2024-11-24,MOVIE PAYMENT,2520,JPY,1386.0,Entertainment
2025-11-14,PVR PAYMENT,115,GBP,12086.5,Entertainment
2025-11-29,SHOPPING PAYMENT,20,USD,1670.0,Shopping
2025-03-04,NETFLIX PAYMENT,3951,INR,3951,Entertainment
2025-05-18,UPI-TATA SKY-5240,112,EUR,9990.4,Utilities
2025-05-12,DISNEY+ PAYMENT,3796,JPY,2087.8,Entertainment
2025-05-28,ACT FIBERNET PAYMENT,8,USD,668.0,Utilities
2024-09-05,GOLD'S GYM PAYMENT,2512,JPY,1381.6,Health
2024-08-03,GOLD'S GYM PAYMENT,9645,JPY,5304.75,Health
2024-04-02,WWW.AJIO.COM,44,EUR,3924.8,Shopping
2025-10-29,UPI-INTERNET-7790,8305,JPY,4567.75,Utilities
2025-11-14,SHIRT STORE,2508,INR,2508,Shopping
2024-12-06,BREAKFAST PAYMENT,4579,JPY,2518.45,Food
2024-03-14,GIFT PAYMENT,124,GBP,13032.4,General
2024-10-10,WWW.CONSULTATION.COM,76,EUR,6779.2,Health
2024-09-29,FLIPKART PAYMENT,13,USD,1085.5,Shopping
2024-01-09,DTH PAYMENT,6284,JPY,3456.2,Utilities
2025-10-07,WWW.SALON.COM,1311,INR,1311,General
2025-06-27,PREPAID RECHARGE PAYMENT,25,USD,2087.5,Utilities
2025-09-23,SPA PAYMENT,14,GBP,1471.4,General
2024-02-16,CASH PAYMENT,140,EUR,12488.0,General
2024-09-11,WWW.BUS TICKET.COM,14,EUR,1248.8,Transport
2024-07-14,UPI-DONATION-2730,51,USD,4258.5,General
2024-11-14,UPI PAYMENT,2329,JPY,1280.95,General
2025-06-25,MAINTENANCE PAYMENT,51,GBP,5360.1,Utilities
2024-04-08,POST OFFICE PAYMENT,57,USD,4759.5,General
2025-11-21,DONATION PAYMENT,81,USD,6763.5,General
2024-12-23,TRANSFER PAYMENT,1335,JPY,734.25,General
2025-07-22,AIRTEL BILL PAYMENT,6198,JPY,3408.9,Utilities
2025-02-04,TAXI PAYMENT,105,EUR,9366.0,Transport
2025-04-24,BROADBAND PAYMENT,49,GBP,5149.9,Utilities
2024-03-15,PREPAID RECHARGE PAYMENT,71,EUR,6333.2,Utilities
2025-10-17,GOLD'S GYM PAYMENT,4067,INR,4067,Health
2025-11-16,DONATION PAYMENT,118,EUR,10525.6,General
2025-02-28,ZARA PAYMENT,44,USD,3674.0,Shopping
2025-03-17,CHARITY PAYMENT,7207,JPY,3963.85,General
2025-04-09,DONATION PAYMENT,55,EUR,4906.0,General
2024-05-09,PRIME VIDEO PAYMENT,108,USD,9018.0,Entertainment
2024-05-28,PRINT PAYMENT,1355,JPY,745.25,General
2025-11-14,DUNKIN PAYMENT,5085,JPY,2796.75,Food
2024-07-12,PARKING PAYMENT,43,EUR,3835.6,Transport
2024-01-31,ONEPLUS PAYMENT,37,GBP,3888.7,Shopping
2024-10-19,MCDONALDS PAYMENT,2046,INR,2046,Food
2025-07-19,UPI-ZARA-4237,101,EUR,9009.2,Shopping
2025-05-12,SALON PAYMENT,62,EUR,5530.4,General
2024-09-09,POS / SEND MONEY,144,EUR,12844.8,General
2025-12-01,MAINTENANCE PAYMENT,143,GBP,15029.3,Utilities
2025-08-25,UNIQLO PAYMENT,4909,INR,4909,Shopping
2024-11-29,TRAIN TICKET PAYMENT,150,GBP,15765.0,Transport
2024-02-14,HOUSE RENT PAYMENT,50,USD,4175.0,Utilities
2025-06-19,HOTSTAR PAYMENT,8,USD,668.0,Entertainment
2025-05-10,APPLE MUSIC PAYMENT,5,GBP,525.5,Entertainment
2024-03-27,FLIGHT PAYMENT,94,EUR,8384.8,Transport
2024-08-21,SHELL STATION PAYMENT,9576,JPY,5266.8,Transport
2025-09-18,POS / HOTSTAR,61,EUR,5441.2,Entertainment
2025-07-03,POS / YOUTUBE PREMIUM,8456,JPY,4650.8,Entertainment
2024-07-25,LYFT PAYMENT,4575,INR,4575,Transport
2025-01-16,AIRTEL BILL PAYMENT,4394,INR,4394,Utilities
2024-01-09,LUNCH PAYMENT,115,GBP,12086.5,Food
2025-08-12,SPA PAYMENT,6498,JPY,3573.9,General
2024-01-02,INSURANCE PREMIUM PAYMENT,8393,JPY,4616.15,Health
2025-09-15,PREPAID RECHARGE PAYMENT,150,GBP,15765.0,Utilities
2024-06-13,APOLLO PHARMACY PAYMENT,84,GBP,8828.4,Health
2025-08-25,DINER PAYMENT,27,GBP,2837.7,Food
2024-09-28,STEAM PAYMENT,59,GBP,6200.9,Entertainment
2025-02-21,PARKING PAYMENT,1105,JPY,607.75,Transport
2024-12-17,POSTPAID BILL PAYMENT,5893,JPY,3241.15,Utilities
2024-03-27,AIRTEL BILL PAYMENT,1029,JPY,565.95,Utilities
2024-08-31,DENTIST PAYMENT,11,GBP,1156.1,Health
2025-09-14,AIRTEL BILL PAYMENT,1439,JPY,791.45,Utilities
2024-10-25,UNIQLO PAYMENT,28,USD,2338.0,Shopping
2025-04-19,ADIDAS PAYMENT,110,USD,9185.0,Shopping
2025-09-30,POS / SAMSUNG,127,USD,10604.5,Shopping
2025-08-11,CAPPUCCINO PAYMENT,1909,INR,1909,Food
2025-01-09,APPLE MUSIC PAYMENT,91,GBP,9564.1,Entertainment
2025-06-18,CULT FIT PAYMENT,72,EUR,6422.4,Health
2025-09-08,POS / PETROL,8344,JPY,4589.2,Transport
2024-06-03,AJIO PAYMENT,3071,JPY,1689.05,Shopping
2024-04-10,TAXI PAYMENT,135,USD,11272.5,Transport
2025-11-09,DENTIST PAYMENT,34,USD,2839.0,Health
2025-08-24,UPI PAYMENT,29,EUR,2586.8,General
2025-04-07,DTH PAYMENT,99,EUR,8830.8,Utilities
2025-07-06,AIR INDIA PAYMENT,4190,INR,4190,Transport
2024-02-14,WWW.TRANSFER.COM,6988,JPY,3843.4,General
2024-09-22,SUBWAY PAYMENT,122,USD,10187.0,Food
2024-07-16,UBER PAYMENT,9,EUR,802.8,Transport
2024-08-29,DTH PAYMENT,50,USD,4175.0,Utilities
2025-10-01,SWIGGY PAYMENT,3815,JPY,2098.25,Food
2024-05-07,DOMINOS PAYMENT,6044,JPY,3324.2,Food
2024-02-22,POS / PVR,8695,JPY,4782.25,Entertainment
2024-07-31,SNACKS PAYMENT,1253,JPY,689.15,Food
2025-05-27,IPL MATCH PAYMENT,3661,INR,3661,Entertainment
2025-05-07,TABLETS PAYMENT,58,GBP,6095.8,Health
2024-12-31,POSTPAID BILL PAYMENT,1319,JPY,725.45,Utilities
2024-04-22,SPA PAYMENT,2532,INR,2532,General
2025-01-01,WWW.METRO CARD.COM,2932,JPY,1612.6,Transport
2025-01-26,XEROX PAYMENT,185,INR,185,General
2024-03-19,HOUSE RENT PAYMENT,49,USD,4091.5,Utilities
2024-04-15,NETMEDS PAYMENT,368,INR,368,Health
2025-04-15,CLINIC PAYMENT,14,GBP,1471.4,Health
2024-05-24,BURGER KING STORE,32,GBP,3363.2,Food
2025-10-09,LAB TEST PAYMENT,42,EUR,3746.4,Health
2025-07-19,NIKE STORE,72,GBP,7567.2,Shopping
2025-03-06,CONCERT PAYMENT,149,GBP,15659.9,Entertainment
2025-07-11,PRINT PAYMENT,41,GBP,4309.1,General
2024-09-22,MOBILE RECHARGE PAYMENT,21,USD,1753.5,Utilities
2024-08-07,UPI-DOMINOS-3759,138,EUR,12309.6,Food
2024-09-13,COURIER PAYMENT,87,GBP,9143.7,General
2025-03-10,GOLD'S GYM PAYMENT,11,USD,918.5,Health
2025-03-12,INTERNET PAYMENT,10,EUR,892.0,Utilities
2025-04-30,INOX PAYMENT,236,INR,236,Entertainment
2024-03-08,MALL PAYMENT,102,EUR,9098.4,Shopping
2024-05-08,HOSPITAL PAYMENT,82,USD,6847.0,Health
2025-11-25,THEATRE PAYMENT,81,GBP,8513.1,Entertainment
2025-10-21,ATM WITHDRAWAL PAYMENT,4392,JPY,2415.6,General
2025-04-25,H&M PAYMENT,120,USD,10020.0,Shopping
2025-03-13,POS / LAB TEST,634,INR,634,Health
2025-01-13,INSURANCE PREMIUM PAYMENT,1889,JPY,1038.95,Health
2024-07-07,FASTAG PAYMENT,24,GBP,2522.4,Transport
2024-03-31,AIR INDIA PAYMENT,1665,INR,1665,Transport
2024-09-15,XEROX PAYMENT,3985,JPY,2191.75,General
2024-10-26,REEBOK PAYMENT,117,GBP,12296.7,Shopping
2024-04-11,HOTSTAR PAYMENT,4609,INR,4609,Entertainment
2025-07-20,DISNEY+ PAYMENT,957,JPY,526.35,Entertainment
2025-10-24,POS / DENTIST,149,USD,12441.5,Health
2024-11-18,NETMEDS PAYMENT,8693,JPY,4781.15,Health
2024-09-09,IPL MATCH PAYMENT,46,EUR,4103.2,Entertainment
2025-05-15,WWW.MYNTRA.COM,9,USD,751.5,Shopping
2024-02-17,ACT FIBERNET PAYMENT,2546,INR,2546,Utilities
2024-04-10,CRICKET PAYMENT,56,GBP,5885.6,Entertainment
2025-02-25,DINNER PAYMENT,966,INR,966,Food
2025-03-31,MALL PAYMENT,4652,INR,4652,Shopping
2025-06-22,POS / BUS TICKET,16,USD,1336.0,Transport
2025-04-13,CINEMA PAYMENT,132,GBP,13873.2,Entertainment
2024-10-15,UPI-POSTPAID BILL-8404,8840,JPY,4862.0,Utilities
2025-06-20,MAINTENANCE STORE,9614,JPY,5287.7,Utilities
2025-08-10,INTERNET PAYMENT,84,USD,7014.0,Utilities
2025-05-25,WATER BILL PAYMENT,1155,INR,1155,Utilities
2024-12-21,UPI-PRINT-5628,50,EUR,4460.0,General
2024-03-28,POS / SUPERMARKET,3221,INR,3221,Food
2024-05-04,SPA PAYMENT,77,GBP,8092.7,General
2025-04-06,UPI-XEROX-6599,20,EUR,1784.0,General
2025-08-19,BROADBAND PAYMENT,4926,INR,4926,Utilities
2024-08-25,POS / FLIGHT,71,EUR,6333.2,Transport
2024-09-13,ONEPLUS PAYMENT,9806,JPY,5393.3,Shopping
2024-03-14,MYNTRA PAYMENT,2892,INR,2892,Shopping
2025-02-24,DONATION PAYMENT,66,GBP,6936.6,General
2025-06-02,SNEAKERS PAYMENT,9449,JPY,5196.95,Shopping
2024-11-07,INDIGO PAYMENT,84,USD,7014.0,Transport
2025-07-05,SPA PAYMENT,42,EUR,3746.4,General
2025-01-29,GAME PAYMENT,114,USD,9519.0,Entertainment
2025-01-16,YOUTUBE PREMIUM PAYMENT,43,EUR,3835.6,Entertainment
2025-10-12,ZARA PAYMENT,3312,JPY,1821.6,Shopping
2024-09-17,GROCERY PAYMENT,4118,JPY,2264.9,Food
2025-02-24,DOMINOS PAYMENT,110,GBP,11561.0,Food
2025-07-24,POS / ZARA,3275,JPY,1801.25,Shopping
2024-02-19,1MG STORE,1204,JPY,662.2,Health
2025-08-18,COURIER PAYMENT,100,EUR,8920.0,General
2024-06-25,TATA SKY PAYMENT,45,USD,3757.5,Utilities
2024-04-08,MOBILE RECHARGE PAYMENT,71,USD,5928.5,Utilities
2025-03-14,JIO FIBER PAYMENT,69,USD,5761.5,Utilities
2025-06-14,HOUSE RENT PAYMENT,18,USD,1503.0,Utilities
2025-02-21,POS / RESTAURANT,4945,INR,4945,Food
2024-04-15,AIR INDIA PAYMENT,145,USD,12107.5,Transport
2024-04-07,LPG PAYMENT,2583,JPY,1420.65,Utilities
2024-05-30,BROADBAND PAYMENT,71,USD,5928.5,Utilities
2024-09-16,GYM PAYMENT,105,GBP,11035.5,Health
2025-06-07,SPOTIFY PAYMENT,71,EUR,6333.2,Entertainment
2024-12-11,POS / PREPAID RECHARGE,14,GBP,1471.4,Utilities
2024-03-12,POS / LATTE,66,EUR,5887.2,Food
2024-07-27,LUNCH STORE,5696,JPY,3132.8,Food
2025-10-12,DUNKIN STORE,3753,INR,3753,Food
2025-01-14,JIO FIBER PAYMENT,8183,JPY,4500.65,Utilities
2024-04-24,INOX PAYMENT,3532,INR,3532,Entertainment
2025-08-30,HAIRCUT PAYMENT,2049,INR,2049,General
2024-04-26,SUBWAY PAYMENT,57,GBP,5990.7,Food
2024-12-29,INSURANCE PREMIUM PAYMENT,790,INR,790,Health
2024-06-04,POS / MEDICINE,74,EUR,6600.8,Health
2024-11-07,APPLE STORE PAYMENT,17,EUR,1516.4,Shopping
2025-10-15,COFFEE PAYMENT,68,USD,5678.0,Food
2025-02-27,GAS CYLINDER PAYMENT,113,GBP,11876.3,Utilities
2025-05-21,SHELL STATION PAYMENT,3956,INR,3956,Transport
2025-03-21,ZOMATO PAYMENT,3520,JPY,1936.0,Food
2025-06-12,FUEL PAYMENT,67,GBP,7041.7,Transport
2025-05-27,LAB TEST PAYMENT,132,USD,11022.0,Health
2025-01-30,CASH PAYMENT,4175,INR,4175,General
2024-08-31,MALL PAYMENT,128,GBP,13452.8,Shopping
2024-05-22,CASH PAYMENT,7236,JPY,3979.8,General
2024-11-14,SHOES PAYMENT,6683,JPY,3675.65,Shopping
2025-10-16,POWER BILL PAYMENT,50,EUR,4460.0,Utilities
2025-01-15,ADIDAS PAYMENT,144,EUR,12844.8,Shopping
2025-10-27,HAIRCUT PAYMENT,3524,JPY,1938.2,General
2024-11-21,RESTAURANT PAYMENT,94,GBP,9879.4,Food
2025-07-28,WWW.WATER BILL.COM,20,USD,1670.0,Utilities
2025-06-22,POS / MEDICINE,108,GBP,11350.8,Health
2025-03-29,GYM PAYMENT,140,EUR,12488.0,Health
2024-07-11,PREPAID RECHARGE PAYMENT,122,USD,10187.0,Utilities
2025-03-25,POS / BUS TICKET,88,GBP,9248.8,Transport
2024-03-11,INOX PAYMENT,96,GBP,10089.6,Entertainment
2025-08-11,DONATION PAYMENT,145,GBP,15239.5,General
2025-04-22,DINNER PAYMENT,8,EUR,713.6,Food
2025-04-05,RAPIDO STORE,118,EUR,10525.6,Transport
2025-08-29,MEDICINE PAYMENT,35,USD,2922.5,Health
2024-07-02,PLAYSTATION PAYMENT,5569,JPY,3062.95,Entertainment
2025-10-14,PHARMACY PAYMENT,5115,JPY,2813.25,Health
2025-06-14,PRIME VIDEO PAYMENT,9055,JPY,4980.25,Entertainment
2025-01-14,UPI-POSTPAID BILL-9472,114,GBP,11981.4,Utilities
2024-11-23,DOMINOS PAYMENT,2465,JPY,1355.75,Food
2025-09-03,UBER PAYMENT,4854,INR,4854,Transport
2025-06-15,RESTAURANT PAYMENT,55,USD,4592.5,Food
2025-10-17,UBER STORE,39,EUR,3478.8,Transport
2025-09-09,UPI-DECATHLON-4851,47,GBP,4939.7,Shopping
2024-10-15,UPI-SALON-1518,133,EUR,11863.6,General
2025-09-18,NETFLIX PAYMENT,1105,INR,1105,Entertainment
2025-04-13,MCDONALDS PAYMENT,32,USD,2672.0,Food
2025-06-26,PARKING PAYMENT,1272,INR,1272,Transport
2024-06-23,BROADBAND PAYMENT,603,INR,603,Utilities
2025-04-30,POSTPAID BILL PAYMENT,109,GBP,11455.9,Utilities
2025-04-24,ELECTRICITY BILL PAYMENT,57,USD,4759.5,Utilities
2024-09-21,UPI-POST OFFICE-5585,1666,INR,1666,General
2025-09-09,HOSPITAL PAYMENT,47,EUR,4192.4,Health
2024-01-26,UPI PAYMENT,7750,JPY,4262.5,General
2024-11-24,UPI-BP PUMP-6484,3184,JPY,1751.2,Transport
2024-05-03,CULT FIT PAYMENT,15,EUR,1338.0,Health
2025-02-20,GIFT PAYMENT,130,GBP,13663.0,General
2024-09-02,TATA SKY PAYMENT,42,GBP,4414.2,Utilities
2025-02-01,TAXI PAYMENT,150,EUR,13380.0,Transport
2025-02-17,MALL PAYMENT,51,USD,4258.5,Shopping
2025-07-27,TRANSFER PAYMENT,9692,JPY,5330.6,General
2025-12-16,SWIGGY PAYMENT,21,GBP,2207.1,Food
2024-07-08,POS / LYFT,90,GBP,9459.0,Transport
2024-05-17,POS / DECATHLON,2680,INR,2680,Shopping
2025-01-23,INDIGO PAYMENT,1833,JPY,1008.15,Transport
2024-06-20,FLIGHT PAYMENT,41,USD,3423.5,Transport
2025-02-23,ESPRESSO PAYMENT,7179,JPY,3948.45,Food
2025-10-18,POST OFFICE PAYMENT,74,GBP,7777.4,General
2024-10-18,WWW.LYFT.COM,133,USD,11105.5,Transport
2024-07-07,WWW.CLOTHES.COM,93,GBP,9774.3,Shopping
2024-02-02,CLINIC PAYMENT,4761,INR,4761,Health
2025-01-07,H&M PAYMENT,107,USD,8934.5,Shopping
2025-06-09,POS / INSURANCE PREMIUM,140,USD,11690.0,Health
2025-02-01,FASTAG PAYMENT,7941,JPY,4367.55,Transport
2024-02-23,GIFT PAYMENT,5,EUR,446.0,General
2024-07-28,VEGETABLES PAYMENT,148,USD,12358.0,Food
2024-04-08,MALL PAYMENT,46,EUR,4103.2,Shopping
2025-03-07,DINER PAYMENT,64,GBP,6726.4,Food
2024-06-12,XEROX STORE,49,USD,4091.5,General
2025-04-01,METRO CARD PAYMENT,2836,JPY,1559.8,Transport
2025-05-02,SHIRT PAYMENT,136,EUR,12131.2,Shopping
2025-11-07,SPOTIFY PAYMENT,26,GBP,2732.6,Entertainment
2024-10-23,POWER BILL PAYMENT,90,GBP,9459.0,Utilities
2025-05-12,BP PUMP PAYMENT,8832,JPY,4857.6,Transport
2024-07-14,AIR INDIA PAYMENT,112,USD,9352.0,Transport
2024-06-15,UPI-MEDICINE-9042,1278,JPY,702.9,Health
2025-02-15,INSURANCE PREMIUM PAYMENT,149,GBP,15659.9,Health
2025-11-20,GAS CYLINDER PAYMENT,1922,INR,1922,Utilities
2025-03-23,DECATHLON PAYMENT,1740,JPY,957.0,Shopping
2025-11-13,ACT FIBERNET PAYMENT,97,GBP,10194.7,Utilities
2025-10-15,POST OFFICE PAYMENT,1740,INR,1740,General
2025-01-23,WWW.CRICKET.COM,10,EUR,892.0,Entertainment
2025-10-20,AIR INDIA PAYMENT,4181,INR,4181,Transport
2024-01-15,DINER PAYMENT,137,GBP,14398.7,Food
2025-02-10,APOLLO PHARMACY PAYMENT,130,USD,10855.0,Health
2024-03-15,POS / APPLE STORE,1527,INR,1527,Shopping
2025-10-16,DINER PAYMENT,4065,JPY,2235.75,Food
2024-10-17,SHELL STATION PAYMENT,4836,INR,4836,Transport
2024-12-10,XEROX PAYMENT,623,INR,623,General
2024-02-23,WWW.TAXI.COM,7588,JPY,4173.4,Transport
2024-03-09,AIR INDIA PAYMENT,137,USD,11439.5,Transport
2025-04-24,UPI-GAS CYLINDER-9564,110,GBP,11561.0,Utilities
2024-05-09,JEANS PAYMENT,11,GBP,1156.1,Shopping
2024-08-15,IPL MATCH PAYMENT,135,EUR,12042.0,Entertainment
2024-01-19,DINNER PAYMENT,2599,INR,2599,Food
2025-10-27,SHELL STATION PAYMENT,48,EUR,4281.6,Transport
2025-11-23,SHOES PAYMENT,2032,INR,2032,Shopping
2024-10-30,WWW.CINEMA.COM,5,USD,417.5,Entertainment
2024-04-01,UPI-PRINT-3087,1005,INR,1005,General
2024-05-04,WWW.EMIRATES.COM,9503,JPY,5226.65,Transport
2025-12-05,UPI-POSTPAID BILL-6639,4805,INR,4805,Utilities
2024-08-21,DONATION PAYMENT,141,GBP,14819.1,General
2024-12-01,IPL MATCH PAYMENT,62,EUR,5530.4,Entertainment
2024-10-19,STEAM PAYMENT,5,EUR,446.0,Entertainment
2024-12-02,PRINT PAYMENT,109,GBP,11455.9,General
2024-06-12,THEATRE PAYMENT,100,EUR,8920.0,Entertainment
2024-12-24,TEA PAYMENT,89,GBP,9353.9,Food
2025-11-23,WWW.THEATRE.COM,61,GBP,6411.1,Entertainment
2024-03-07,HAIRCUT PAYMENT,70,USD,5845.0,General
2024-02-07,BLOOD TEST PAYMENT,128,USD,10688.0,Health
2025-06-28,RESTAURANT STORE,32,GBP,3363.2,Food
2025-12-11,CONCERT PAYMENT,11,USD,918.5,Entertainment
2025-10-16,CHARITY PAYMENT,91,USD,7598.5,General
2024-12-13,SHIRT PAYMENT,4281,JPY,2354.55,Shopping
2024-07-27,RESTAURANT PAYMENT,130,GBP,13663.0,Food
2025-05-13,DISNEY+ PAYMENT,1567,INR,1567,Entertainment
2025-08-21,UPI-SWIGGY-6124,226,INR,226,Food
2024-02-04,SWIGGY PAYMENT,43,EUR,3835.6,Food
2024-11-27,SHIRT PAYMENT,5255,JPY,2890.25,Shopping
2024-04-28,FRUITS PAYMENT,4997,INR,4997,Food
2024-07-17,SWIGGY PAYMENT,123,GBP,12927.3,Food
2024-09-25,FASTAG PAYMENT,6982,JPY,3840.1,Transport
2025-01-31,PHARMACY PAYMENT,141,GBP,14819.1,Health
2024-01-04,UPI-CAB-5900,96,GBP,10089.6,Transport
2025-06-27,GOLD'S GYM PAYMENT,102,EUR,9098.4,Health
2025-04-11,INTERNET PAYMENT,3970,JPY,2183.5,Utilities
2024-04-01,SAMSUNG PAYMENT,1068,INR,1068,Shopping
2025-09-15,BURGER KING STORE,817,INR,817,Food
2025-01-29,SEND MONEY PAYMENT,67,GBP,7041.7,General
2024-06-03,CASH PAYMENT,46,GBP,4834.6,General
2025-02-14,AIRTEL BILL PAYMENT,129,GBP,13557.9,Utilities
2024-06-16,POS / GAME,84,GBP,8828.4,Entertainment
2025-03-23,DECATHLON PAYMENT,84,EUR,7492.8,Shopping
2024-05-31,RAPIDO PAYMENT,69,EUR,6154.8,Transport
2024-06-28,CAB PAYMENT,17,EUR,1516.4,Transport
2025-03-01,BROADBAND PAYMENT,45,EUR,4014.0,Utilities
2024-04-17,TACO BELL PAYMENT,60,USD,5010.0,Food
2025-01-26,WWW.AMAZON.COM,57,EUR,5084.4,Shopping
2025-10-23,NIKE PAYMENT,11,USD,918.5,Shopping
2024-06-11,WATER BILL PAYMENT,140,USD,11690.0,Utilities
2025-06-10,PUMA PAYMENT,4367,JPY,2401.85,Shopping
2025-10-08,SPOTIFY PAYMENT,74,USD,6179.0,Entertainment
2024-02-13,BISTRO PAYMENT,507,INR,507,Food
2024-07-23,LUNCH PAYMENT,112,USD,9352.0,Food
2025-04-09,GYM PAYMENT,3040,INR,3040,Health
2024-08-18,PRINT PAYMENT,4358,INR,4358,General
2024-09-23,APPLE MUSIC PAYMENT,1421,JPY,781.55,Entertainment
2024-10-15,JIO FIBER PAYMENT,76,GBP,7987.6,Utilities
2025-03-03,UPI PAYMENT,462,INR,462,General
2024-03-02,HOUSE RENT PAYMENT,6993,JPY,3846.15,Utilities
2025-02-07,UPI-SEND MONEY-7922,23,GBP,2417.3,General
2024-12-22,WWW.SWIGGY.COM,131,GBP,13768.1,Food
2024-04-01,CULT FIT PAYMENT,68,USD,5678.0,Health
2025-07-20,MAINTENANCE PAYMENT,8553,JPY,4704.15,Utilities
2024-12-11,DTH PAYMENT,799,INR,799,Utilities
2025-05-26,LYFT PAYMENT,35,GBP,3678.5,Transport
2024-11-18,SHELL STATION PAYMENT,5044,JPY,2774.2,Transport
2024-07-22,UPI-CONSULTATION-2912,729,INR,729,Health
2025-11-27,DTH PAYMENT,1115,INR,1115,Utilities
2025-06-28,WWW.ONEPLUS.COM,45,EUR,4014.0,Shopping
2024-12-28,CULT FIT STORE,3204,INR,3204,Health
2025-09-14,AIRTEL BILL PAYMENT,111,EUR,9901.2,Utilities
2024-07-26,INTERNET PAYMENT,5345,JPY,2939.75,Utilities
2025-06-11,GAME PAYMENT,295,INR,295,Entertainment
2024-10-12,AIR INDIA PAYMENT,138,USD,11523.0,Transport
2025-01-18,HOSPITAL PAYMENT,61,EUR,5441.2,Health
2024-04-08,CASH PAYMENT,2525,INR,2525,General
2024-12-14,JEANS PAYMENT,5217,JPY,2869.35,Shopping
2025-11-24,SNEAKERS PAYMENT,7785,JPY,4281.75,Shopping
2024-10-25,INTERNET PAYMENT,9936,JPY,5464.8,Utilities
2024-01-24,GROCERY PAYMENT,52,USD,4342.0,Food
2025-02-14,CINEMA PAYMENT,17,EUR,1516.4,Entertainment
2024-01-09,ZOMATO PAYMENT,75,GBP,7882.5,Food
2024-06-14,CLOTHES PAYMENT,91,USD,7598.5,Shopping
2025-07-04,SHELL STATION PAYMENT,87,GBP,9143.7,Transport
2024-02-27,ZARA PAYMENT,1686,JPY,927.3,Shopping
2024-01-24,CHAI PAYMENT,75,EUR,6690.0,Food
2025-10-07,UPI-THEATRE-1699,4675,JPY,2571.25,Entertainment
2024-02-11,AIRTEL BILL PAYMENT,5,EUR,446.0,Utilities
2024-01-17,GIFT PAYMENT,34,EUR,3032.8,General
